0,AIOneName,AIOneDiff,AITwoName,AITwoDiff,WhoWentFirst,WinnerName,WinnerDiff,WinnerSymbol
914,AI_1,0,AI_2,0,0,AI_1,0,X
915,AI_1,1,AI_2,1,1,TIE,N/A,N/A
916,AI_1,0,AI_2,2,0,TIE,N/A,N/A
917,AI_1,1,AI_2,2,1,AI_2,2,O
918,AI_1,2,AI_2,2,0,TIE,N/A,N/A
919,AI_1,0,AI_2,0,1,AI_2,0,O
920,AI_1,2,AI_2,2,1,AI_2,2,O
921,AI_1,0,AI_2,0,1,AI_2,0,O
922,AI_1,1,AI_2,1,0,TIE,N/A,N/A
923,AI_1,0,AI_2,1,0,TIE,N/A,N/A
924,AI_1,1,AI_2,2,1,AI_2,2,O
925,AI_1,1,AI_2,2,1,AI_2,2,O
926,AI_1,2,AI_2,0,0,AI_2,0,O
927,AI_1,1,AI_2,0,0,AI_1,1,X
928,AI_1,1,AI_2,0,0,AI_1,1,X
929,AI_1,0,AI_2,1,0,TIE,N/A,N/A
930,AI_1,0,AI_2,0,1,AI_2,0,O
931,AI_1,2,AI_2,1,1,AI_1,2,X
932,AI_1,0,AI_2,0,0,TIE,N/A,N/A
933,AI_1,1,AI_2,1,0,TIE,N/A,N/A
934,AI_1,1,AI_2,0,1,AI_1,1,X
935,AI_1,2,AI_2,2,1,AI_2,2,O
936,AI_1,1,AI_2,2,1,AI_2,2,O
937,AI_1,1,AI_2,0,1,AI_1,1,X
938,AI_1,2,AI_2,1,0,TIE,N/A,N/A
939,AI_1,0,AI_2,2,0,TIE,N/A,N/A
940,AI_1,0,AI_2,2,1,AI_2,2,O
941,AI_1,0,AI_2,1,0,TIE,N/A,N/A
942,AI_1,1,AI_2,0,0,AI_2,0,O
943,AI_1,0,AI_2,2,1,AI_2,2,O
944,AI_1,0,AI_2,2,1,AI_2,2,O
945,AI_1,1,AI_2,1,0,TIE,N/A,N/A
946,AI_1,2,AI_2,2,1,AI_2,2,O
947,AI_1,0,AI_2,2,0,TIE,N/A,N/A
948,AI_1,2,AI_2,1,1,TIE,N/A,N/A
949,AI_1,1,AI_2,2,0,TIE,N/A,N/A
950,AI_1,0,AI_2,2,0,TIE,N/A,N/A
951,AI_1,0,AI_2,0,0,AI_2,0,O
952,AI_1,2,AI_2,1,1,TIE,N/A,N/A
953,AI_1,2,AI_2,2,0,TIE,N/A,N/A
954,AI_1,2,AI_2,0,1,TIE,N/A,N/A
955,AI_1,0,AI_2,0,1,AI_2,0,O
956,AI_1,1,AI_2,1,1,AI_1,1,X
957,AI_1,1,AI_2,1,1,TIE,N/A,N/A
958,AI_1,1,AI_2,2,1,AI_2,2,O
959,AI_1,1,AI_2,1,0,TIE,N/A,N/A
960,AI_1,0,AI_2,0,0,AI_1,0,X
961,AI_1,2,AI_2,0,0,AI_1,2,X
962,AI_1,2,AI_2,2,0,TIE,N/A,N/A
963,AI_1,1,AI_2,0,0,AI_1,1,X
964,AI_1,2,AI_2,1,0,TIE,N/A,N/A
965,AI_1,2,AI_2,0,1,AI_1,2,X
966,AI_1,1,AI_2,0,0,AI_2,0,O
967,AI_1,1,AI_2,1,0,TIE,N/A,N/A
968,AI_1,2,AI_2,2,1,AI_2,2,O
969,AI_1,0,AI_2,1,1,AI_1,0,X
970,AI_1,1,AI_2,2,1,AI_2,2,O
971,AI_1,2,AI_2,2,1,AI_2,2,O
972,AI_1,0,AI_2,2,1,AI_2,2,O
973,AI_1,1,AI_2,2,0,TIE,N/A,N/A
974,AI_1,0,AI_2,0,1,AI_2,0,O
975,AI_1,0,AI_2,2,0,TIE,N/A,N/A
976,AI_1,0,AI_2,1,0,TIE,N/A,N/A
977,AI_1,1,AI_2,1,0,TIE,N/A,N/A
978,AI_1,2,AI_2,0,0,TIE,N/A,N/A
979,AI_1,2,AI_2,1,0,TIE,N/A,N/A
980,AI_1,1,AI_2,2,0,TIE,N/A,N/A
981,AI_1,1,AI_2,0,0,AI_1,1,X
982,AI_1,1,AI_2,2,0,TIE,N/A,N/A
983,AI_1,0,AI_2,1,0,TIE,N/A,N/A
984,AI_1,1,AI_2,0,1,AI_2,0,O
985,AI_1,0,AI_2,1,0,TIE,N/A,N/A
986,AI_1,0,AI_2,1,0,TIE,N/A,N/A
987,AI_1,0,AI_2,0,0,AI_2,0,O
988,AI_1,0,AI_2,2,1,AI_2,2,O
989,AI_1,1,AI_2,2,0,TIE,N/A,N/A
990,AI_1,2,AI_2,0,0,AI_2,0,O
